Variables,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Landed Properties,"14,380.00","14,013.00","13,778.00","13,091.00","13,149.00","13,092.00","13,018.00","13,312.00","13,171.00","13,400.00","13,498.00","13,337.00","13,058.00","13,255.00","13,047.00","13,027.00","12,846.00","12,657.00","13,114.00","14,057.00"
        Other Types Of Dwelling,"2,601.00","2,423.00","2,325.00","2,121.00","2,064.00","2,144.00","2,188.00","2,413.00","2,607.00","2,885.00","2,707.00","2,423.00","2,446.00","2,328.00","2,114.00","1,945.00","1,784.00","1,560.00","1,480.00","1,450.00"
35-39 Years,"322,621.00","322,878.00","320,753.00","310,643.00","302,908.00","299,153.00","298,203.00","301,973.00","307,243.00","317,311.00","320,024.00","316,161.00","313,970.00","305,503.00","302,029.00","301,067.00","301,998.00","300,956.00","303,720.00","300,818.00"
        Total HDB Dwellings,"275,959.00","274,097.00","271,175.00","262,765.00","254,807.00","249,582.00","246,224.00","247,895.00","253,244.00","261,611.00","262,331.00","258,711.00","256,374.00","249,264.00","246,019.00","243,732.00","242,354.00","238,954.00","237,856.00","233,930.00"
            HDB 1- And 2-room Flats,"6,882.00","6,039.00","5,588.00","5,236.00","5,010.00","4,939.00","4,799.00","4,832.00","5,054.00","5,254.00","5,547.00","5,949.00","6,051.00","6,143.00","6,462.00","6,605.00","6,611.00","6,871.00","6,972.00","6,912.00"
            HDB 3-room Flats,"62,269.00","59,407.00","57,030.00","54,005.00","51,323.00","49,323.00","47,849.00","47,973.00","48,990.00","51,171.00","51,468.00","50,920.00","49,855.00","47,669.00","46,593.00","45,676.00","44,590.00","42,834.00","41,872.00","40,218.00"
            HDB 4-room Flats,"114,584.00","114,367.00","113,456.00","109,160.00","104,973.00","102,257.00","100,376.00","100,597.00","102,665.00","106,321.00","107,242.00","106,669.00","107,657.00","107,336.00","108,319.00","109,281.00","110,901.00","111,688.00","112,727.00","112,502.00"
            HDB 5-room And Executive Flats,"90,443.00","92,804.00","94,074.00","93,599.00","92,891.00","92,478.00","92,624.00","93,958.00","96,082.00","98,379.00","97,585.00","94,723.00","92,365.00","87,728.00","84,436.00","81,997.00","80,109.00","77,561.00","76,285.00","74,298.00"
        Condominiums & Other Apartments,"25,009.00","28,061.00","30,000.00","30,125.00","31,323.00","33,361.00","35,766.00","37,304.00","36,543.00","37,660.00","39,458.00","39,674.00","39,944.00","39,364.00","39,609.00","41,713.00","44,437.00","47,625.00","51,866.00","53,325.00"
        Landed Properties,"18,592.00","17,835.00","16,944.00","15,407.00","14,577.00","14,026.00","13,909.00","14,331.00","14,807.00","15,223.00","15,482.00","15,056.00","14,962.00","14,268.00","13,986.00","13,403.00","13,106.00","12,470.00","12,295.00","11,981.00"
        Other Types Of Dwelling,"3,061.00","2,885.00","2,634.00","2,346.00","2,201.00","2,184.00","2,304.00","2,443.00","2,649.00","2,817.00","2,753.00","2,720.00","2,690.00","2,607.00","2,415.00","2,219.00","2,101.00","1,907.00","1,703.00","1,582.00"
40-44 Years,"312,420.00","317,996.00","320,863.00","318,282.00","321,057.00","321,472.00","323,017.00","321,049.00","317,363.00","312,983.00","309,441.00","306,614.00","308,823.00","312,581.00","316,023.00","316,755.00","313,445.00","311,484.00","303,640.00","300,763.00"
        Total HDB Dwellings,"262,232.00","265,468.00","267,001.00","264,585.00","265,861.00","264,773.00","264,759.00","261,968.00","259,563.00","255,239.00","250,582.00","246,738.00","246,762.00","248,245.00","249,370.00","247,442.00","242,006.00","236,674.00","227,509.00","223,336.00"
            HDB 1- And 2-room Flats,"8,622.00","7,970.00","7,405.00","6,855.00","6,608.00","6,362.00","6,326.00","6,448.00","6,610.00","6,728.00","6,954.00","7,236.00","7,590.00","8,122.00","8,318.00","8,438.00","8,279.00","7,844.00","7,850.00","8,323.00"
            HDB 3-room Flats,"63,318.00","60,548.00","58,610.00","56,680.00","55,860.00","54,786.00","54,342.00","53,663.00","52,714.00","51,803.00","50,297.00","49,021.00","48,223.00","47,742.00","47,908.00","47,569.00","46,488.00","45,184.00","42,940.00","41,371.00"
            HDB 4-room Flats,"105,606.00","107,726.00","109,074.00","108,565.00","109,633.00","109,333.00","109,619.00","107,952.00","106,448.00","104,022.00","101,610.00","99,434.00","99,634.00","100,529.00","101,422.00","101,498.00","100,561.00","100,152.00","98,125.00","97,774.00"
            HDB 5-room And Executive Flats,"82,302.00","87,120.00","90,337.00","91,240.00","92,704.00","93,322.00","93,578.00","93,130.00","93,190.00","92,119.00","91,152.00","90,595.00","90,894.00","91,484.00","91,491.00","89,739.00","86,492.00","83,494.00","78,594.00","75,868.00"
        Condominiums & Other Apartments,"24,430.00","27,377.00","29,653.00","30,680.00","32,698.00","34,886.00","37,069.00","38,405.00","37,555.00","38,159.00","39,444.00","40,626.00","42,476.00","44,415.00","46,676.00","49,869.00","52,909.00","57,014.00","59,246.00","61,030.00"
        Landed Properties,"22,748.00","22,366.00","21,550.00","20,468.00","19,968.00","19,290.00","18,616.00","18,051.00","17,503.00","16,924.00","16,862.00","16,777.00","17,095.00","17,395.00","17,517.00","17,030.00","16,318.00","15,728.00","14,932.00","14,609.00"
        Other Types Of Dwelling,"3,010.00","2,785.00","2,659.00","2,549.00","2,530.00","2,523.00","2,573.00","2,625.00","2,742.00","2,661.00","2,553.00","2,473.00","2,490.00","2,526.00","2,460.00","2,414.00","2,212.00","2,068.00","1,953.00","1,788.00"
45-49 Years,"262,201.00","274,569.00","286,738.00","292,791.00","300,671.00","307,546.00","312,858.00","315,552.00","318,078.00","322,497.00","323,459.00","323,991.00","320,925.00","316,336.00","308,533.00","303,413.00","301,183.00","303,457.00","307,838.00","311,682.00"
        Total HDB Dwellings,"217,917.00","227,712.00","236,958.00","242,015.00","247,936.00","252,963.00","256,658.00","258,362.00","260,599.00","263,613.00","263,601.00","263,727.00","260,192.00","254,959.00","246,846.00","240,023.00","234,198.00","231,443.00","230,679.00","230,541.00"
            HDB 1- And 2-room Flats,"8,407.00","8,062.00","8,057.00","8,016.00","8,183.00","8,371.00","8,406.00","8,326.00","8,298.00","8,412.00","8,770.00","9,342.00","9,898.00","10,613.00","10,806.00","10,755.00","10,276.00","10,005.00","10,041.00","10,231.00"
            HDB 3-room Flats,"57,809.00","56,583.00","55,978.00","55,271.00","54,538.00","54,741.00","54,422.00","54,350.00","54,432.00","55,077.00","54,994.00","54,918.00","53,410.00","51,467.00","49,275.00","47,143.00","45,752.00","44,807.00","44,529.00","44,340.00"
            HDB 4-room Flats,"86,382.00","91,903.00","97,381.00","99,599.00","102,008.00","103,639.00","105,277.00","105,809.00","106,825.00","108,130.00","107,922.00","107,861.00","106,167.00","103,575.00","99,893.00","96,829.00","94,082.00","93,156.00","93,033.00","93,144.00"
            HDB 5-room And Executive Flats,"63,144.00","69,098.00","74,012.00","77,816.00","81,976.00","84,980.00","87,375.00","88,720.00","90,108.00","91,112.00","91,110.00","90,941.00","90,127.00","88,847.00","86,635.00","85,118.00","83,922.00","83,475.00","83,076.00","82,826.00"
        Condominiums & Other Apartments,"19,091.00","21,446.00","24,090.00","25,580.00","27,579.00","29,676.00","31,633.00","32,934.00","33,289.00","34,868.00","36,385.00","37,578.00","38,484.00","39,668.00","40,863.00","43,368.00","47,109.00","52,171.00","57,420.00","61,194.00"
        Landed Properties,"22,423.00","22,764.00","23,081.00","22,673.00","22,755.00","22,503.00","22,206.00","21,797.00","21,433.00","21,152.00","20,672.00","19,973.00","19,460.00","19,013.00","18,434.00","17,786.00","17,663.00","17,793.00","17,831.00","18,071.00"
        Other Types Of Dwelling,"2,770.00","2,647.00","2,609.00","2,523.00","2,401.00","2,404.00","2,361.00","2,459.00","2,757.00","2,864.00","2,801.00","2,713.00","2,789.00","2,696.00","2,390.00","2,236.00","2,213.00","2,050.00","1,908.00","1,876.00"
50-54 Years,"206,657.00","223,842.00","230,367.00","233,180.00","244,110.00","254,168.00","266,994.00","279,220.00","289,189.00","297,383.00","303,044.00","308,130.00","310,376.00","312,988.00","315,503.00","315,091.00","315,598.00","312,814.00","308,965.00","301,682.00"
        Total HDB Dwellings,"171,020.00","184,889.00","190,082.00","193,637.00","202,095.00","209,558.00","219,772.00","229,673.00","238,500.00","245,139.00","249,941.00","253,979.00","255,239.00","256,259.00","256,890.00","255,201.00","253,729.00","248,778.00","242,985.00","234,631.00"
